#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        HEAT_VAP        
100000           -7.44325458e+06 -7.25218260e+06 -1.91161693e+05  8.97133524e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.13550998e+06  9.26188221e+00  6.02029172e+03  4.76430297e+02  1.12329847e+01
200000           -7.39909661e+06 -7.20911023e+06 -1.90018508e+05  3.21306792e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.01614454e+06  1.72975565e+01  6.00769663e+03  4.74573111e+02  1.12064197e+01
300000           -7.35724312e+06 -7.16813362e+06 -1.89121049e+05  1.15534590e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.01195244e+06  1.67142545e+01  5.99028477e+03  4.73706614e+02  1.11846497e+01
400000           -7.31181936e+06 -7.12369192e+06 -1.88131716e+05  4.27499919e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.04588121e+06  1.30536988e+01  5.96648329e+03  4.73108366e+02  1.10841541e+01
500000           -7.26750860e+06 -7.08045994e+06 -1.87050225e+05  1.56002205e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.14321350e+06  4.91593782e+00  5.94677411e+03  4.71944001e+02  1.10492486e+01
600000           -7.25148726e+06 -7.06473790e+06 -1.86749836e+05  4.75836171e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.05075012e+06  1.13801116e+01  5.94088137e+03  4.71656981e+02  1.10475882e+01
700000           -7.35611432e+06 -7.16692377e+06 -1.89190654e+05  1.07602607e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.08971692e+06  1.11470376e+01  5.99215102e+03  4.73729904e+02  1.11694308e+01
800000           -7.37051332e+06 -7.18117945e+06 -1.89333884e+05  8.48105386e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.14949228e+06  6.67903899e+00  5.98994135e+03  4.74266371e+02  1.11633879e+01
900000           -7.42433517e+06 -7.23384565e+06 -1.90489520e+05  2.68492375e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.09120013e+06  1.22171613e+01  6.01539772e+03  4.75141448e+02  1.12036476e+01
1000000          -7.42769153e+06 -7.23718894e+06 -1.90502589e+05  9.48618014e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.10380165e+06  1.15146711e+01  6.01978864e+03  4.74827661e+02  1.12343053e+01
