#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        HEAT_VAP        
100000           -7.02799312e+06 -6.84770213e+06 -1.80378663e+05  8.76774969e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.88233561e+06  9.96366660e+00  5.66440045e+03  4.77798426e+02  1.11636988e+01
200000           -7.05796990e+06 -6.87686841e+06 -1.81133594e+05  3.20995546e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.82970268e+06  1.48276329e+01  5.67861350e+03  4.78601508e+02  1.12671286e+01
300000           -6.99943710e+06 -6.81991644e+06 -1.79532261e+05  1.16047770e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.85059439e+06  1.24478921e+01  5.66577816e+03  4.75444892e+02  1.11576049e+01
400000           -7.03514058e+06 -6.85425712e+06 -1.80887109e+05  3.64039417e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.87586236e+06  1.28618358e+01  5.71113616e+03  4.75225980e+02  1.11160470e+01
500000           -7.04397763e+06 -6.86294031e+06 -1.81038475e+05  1.15347540e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.84512939e+06  1.53164073e+01  5.71269212e+03  4.75495234e+02  1.11070919e+01
600000           -7.02511350e+06 -6.84446183e+06 -1.80652168e+05  4.97523804e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.92156000e+06  9.36959147e+00  5.71137082e+03  4.74590627e+02  1.10566830e+01
700000           -6.94763228e+06 -6.76893109e+06 -1.78701423e+05  2.36408449e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.91173150e+06  8.60596941e+00  5.68370822e+03  4.71750736e+02  1.09987655e+01
800000           -6.94142355e+06 -6.76288894e+06 -1.78534758e+05  1.42425136e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.83333554e+06  1.49125399e+01  5.69031147e+03  4.70763778e+02  1.09728614e+01
900000           -7.00622427e+06 -6.82614133e+06 -1.80083049e+05  1.04406349e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.87453652e+06  1.35900421e+01  5.72476581e+03  4.71985032e+02  1.10541473e+01
1000000          -7.06161013e+06 -6.87985757e+06 -1.81752568e+05  5.81543317e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.89618179e+06  1.42526773e+01  5.76948603e+03  4.72670910e+02  1.10395547e+01
1100000          -7.12978916e+06 -6.94622613e+06 -1.83563025e+05 -4.98626282e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.89725754e+06  1.65469826e+01  5.81594141e+03  4.73566547e+02  1.10963296e+01
1200000          -7.11162234e+06 -6.92840791e+06 -1.83214432e+05 -4.98626284e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.92229510e+06  1.45489546e+01  5.81401557e+03  4.72823807e+02  1.10816178e+01
1300000          -7.06874027e+06 -6.88640656e+06 -1.82333713e+05 -4.98626285e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.98900964e+06  9.52888503e+00  5.81428586e+03  4.70530685e+02  1.10047344e+01
1400000          -7.11096128e+06 -6.92782387e+06 -1.83137400e+05 -4.98626287e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.00804763e+06  8.66484712e+00  5.82471082e+03  4.71758752e+02  1.10663845e+01
1500000          -7.16193065e+06 -6.97784057e+06 -1.84090070e+05 -4.98626288e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.00562816e+06  9.44178189e+00  5.83581485e+03  4.73309964e+02  1.11219069e+01
1600000          -7.15348040e+06 -6.96983873e+06 -1.83641669e+05 -4.98626290e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.96970826e+06  1.12858705e+01  5.81927577e+03  4.73498569e+02  1.11123882e+01
1700000          -7.09828489e+06 -6.91548775e+06 -1.82797135e+05 -4.98626292e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.88479288e+06  1.80327978e+01  5.82895495e+03  4.70536918e+02  1.10495469e+01
1800000          -7.05184993e+06 -6.87022552e+06 -1.81624411e+05 -4.98626294e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.97225037e+06  1.05609423e+01  5.81073488e+03  4.68985768e+02  1.09990681e+01
1900000          -7.04528839e+06 -6.86376419e+06 -1.81524199e+05 -4.98626295e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.94594465e+06  1.18011489e+01  5.79631404e+03  4.69892745e+02  1.10169170e+01
2000000          -7.02754768e+06 -6.84637257e+06 -1.81175112e+05 -4.98626297e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.89449596e+06  1.54217569e+01  5.79227500e+03  4.69316452e+02  1.09655896e+01
2100000          -7.13522231e+06 -6.95145043e+06 -1.83771881e+05 -4.98626298e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.99177488e+06  1.04159364e+01  5.83478163e+03  4.72573167e+02  1.11133335e+01
2200000          -7.18997554e+06 -7.00481035e+06 -1.85165192e+05 -4.98626300e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.09171056e+06  5.32560324e+00  5.88071188e+03  4.72439806e+02  1.11152650e+01
2300000          -7.18365227e+06 -6.99881112e+06 -1.84841145e+05 -4.98626302e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.94210856e+06  1.60463465e+01  5.87340930e+03  4.72198187e+02  1.11055761e+01
2400000          -7.18244324e+06 -6.99734810e+06 -1.85095141e+05 -4.98626303e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.99163495e+06  1.31434599e+01  5.88932362e+03  4.71569263e+02  1.10626730e+01
2500000          -7.24750313e+06 -7.06089293e+06 -1.86610197e+05 -4.98626304e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.01234338e+06  1.35875811e+01  5.92839135e+03  4.72295722e+02  1.10523311e+01
2600000          -7.29791241e+06 -7.11034507e+06 -1.87567341e+05 -4.98626306e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.02206367e+06  1.32666290e+01  5.93509665e+03  4.74181500e+02  1.11715330e+01
2700000          -7.20505589e+06 -7.01979176e+06 -1.85264130e+05 -4.98626307e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.07370897e+06  7.41500359e+00  5.89563530e+03  4.71489797e+02  1.10428073e+01
2800000          -7.04347465e+06 -6.86213754e+06 -1.81337111e+05 -4.98626309e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.03499471e+06  7.48494199e+00  5.84277907e+03  4.65676191e+02  1.09387528e+01
2900000          -7.06430230e+06 -6.88197645e+06 -1.82325842e+05 -4.98626311e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.99608644e+06  1.19363253e+01  5.87454850e+03  4.65681507e+02  1.09005803e+01
3000000          -7.13924754e+06 -6.95522381e+06 -1.84023725e+05 -4.98626312e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.98789647e+06  1.39617642e+01  5.90250464e+03  4.67791789e+02  1.09553124e+01
3100000          -7.18354678e+06 -6.99844690e+06 -1.85099886e+05 -4.98626313e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.03911054e+06  1.10142904e+01  5.91759794e+03  4.69329207e+02  1.10080336e+01
3200000          -7.16600226e+06 -6.98122900e+06 -1.84773253e+05 -4.98626315e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.04420504e+06  1.05830998e+01  5.91673202e+03  4.68569729e+02  1.09637214e+01
3300000          -7.17397426e+06 -6.98921987e+06 -1.84754396e+05 -4.98626317e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.99016238e+06  1.41007689e+01  5.90766096e+03  4.69241656e+02  1.09722991e+01
3400000          -7.07802709e+06 -6.89572055e+06 -1.82306533e+05 -4.98626318e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.95315466e+06  1.45837994e+01  5.86425779e+03  4.66446369e+02  1.09356903e+01
3500000          -7.13641084e+06 -6.95262076e+06 -1.83790081e+05 -4.98626320e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.05301551e+06  8.72172556e+00  5.89266988e+03  4.67978789e+02  1.09850216e+01
3600000          -7.21544299e+06 -7.02980722e+06 -1.85635772e+05 -4.98626322e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.11730921e+06  5.26155216e+00  5.91643353e+03  4.70779451e+02  1.10997436e+01
3700000          -7.27117864e+06 -7.08396361e+06 -1.87215029e+05 -4.98626323e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.07928246e+06  9.67890565e+00  5.94832410e+03  4.72240873e+02  1.11304185e+01
3800000          -7.22627001e+06 -7.03996578e+06 -1.86304227e+05 -4.98626325e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.09486670e+06  8.43659349e+00  5.94704015e+03  4.70044213e+02  1.10590504e+01
3900000          -7.27671233e+06 -7.08946013e+06 -1.87252206e+05 -4.98626326e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.09423330e+06  9.51395905e+00  5.96730635e+03  4.70831061e+02  1.10472925e+01
4000000          -7.29752835e+06 -7.10988736e+06 -1.87640999e+05 -4.98626328e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.10278604e+06  9.26362556e+00  5.97464346e+03  4.71228926e+02  1.10593732e+01
4100000          -7.27123981e+06 -7.08409579e+06 -1.87144018e+05 -4.98626330e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.07304966e+06  1.05978289e+01  5.95810729e+03  4.71283832e+02  1.10932440e+01
4200000          -7.25111678e+06 -7.06455987e+06 -1.86556907e+05 -4.98626331e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.01901165e+06  1.34796522e+01  5.93634222e+03  4.71529741e+02  1.11045462e+01
4300000          -7.29685404e+06 -7.10942439e+06 -1.87429648e+05 -4.98626333e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.06353684e+06  1.05203484e+01  5.94169577e+03  4.73308205e+02  1.11417257e+01
4400000          -7.26241995e+06 -7.07566853e+06 -1.86751414e+05 -4.98626335e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.00237231e+06  1.43558328e+01  5.92883000e+03  4.72618753e+02  1.10954950e+01
4500000          -7.24754556e+06 -7.06123276e+06 -1.86312802e+05 -4.98626336e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.99042265e+06  1.49452005e+01  5.92333575e+03  4.71946226e+02  1.10903456e+01
4600000          -7.23408622e+06 -7.04791372e+06 -1.86172500e+05 -4.98626338e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.04295847e+06  1.13268632e+01  5.92839994e+03  4.71188151e+02  1.10667451e+01
4700000          -7.29209704e+06 -7.10462810e+06 -1.87468938e+05 -4.98626339e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.96132558e+06  1.81684384e+01  5.94440530e+03  4.73190824e+02  1.11096386e+01
4800000          -7.29945566e+06 -7.11175729e+06 -1.87698364e+05 -4.98626341e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.05805453e+06  1.13602898e+01  5.95030090e+03  4.73301447e+02  1.11151028e+01
4900000          -7.33908089e+06 -7.15089096e+06 -1.88189931e+05 -4.98626343e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.10708638e+06  7.28748078e+00  5.94037669e+03  4.75334726e+02  1.12283321e+01
5000000          -7.35841178e+06 -7.16981400e+06 -1.88597779e+05 -4.98626344e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.07630452e+06  1.04926492e+01  5.95926596e+03  4.74853841e+02  1.12042233e+01
