#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        HEAT_VAP        
100000           -7.53336760e+06 -7.33956724e+06 -1.93898943e+05  9.85828302e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.19894268e+06  1.33548297e+01  6.20092008e+03  4.69174768e+02  1.10595373e+01
200000           -7.58253229e+06 -7.38728340e+06 -1.95284408e+05  3.55155523e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.21131128e+06  1.37307131e+01  6.22615788e+03  4.70611162e+02  1.11153257e+01
300000           -7.50495509e+06 -7.31161711e+06 -1.93350861e+05  1.28780777e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.17492804e+06  1.50033812e+01  6.20128143e+03  4.67818092e+02  1.10853991e+01
400000           -7.50151606e+06 -7.30804223e+06 -1.93478848e+05  5.01587981e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.20310673e+06  1.34133926e+01  6.20931979e+03  4.67525571e+02  1.10509598e+01
500000           -7.49941183e+06 -7.30615576e+06 -1.93258276e+05  2.20297044e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.26771215e+06  8.48963279e+00  6.20021882e+03  4.67675954e+02  1.10700773e+01
600000           -7.56476041e+06 -7.37004520e+06 -1.94716432e+05  1.21257152e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.20550731e+06  1.29009666e+01  6.19951006e+03  4.71262215e+02  1.10861900e+01
700000           -7.51163256e+06 -7.31840602e+06 -1.93227076e+05  5.38464039e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.17310523e+06  1.35132135e+01  6.16551859e+03  4.70233509e+02  1.11204613e+01
800000           -7.51155664e+06 -7.31839075e+06 -1.93166136e+05  2.46991741e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.30603664e+06  4.40774083e+00  6.17065866e+03  4.69690545e+02  1.11020536e+01
900000           -7.39610640e+06 -7.20564116e+06 -1.90465397e+05  1.54248583e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.17202713e+06  1.10092126e+01  6.11318356e+03  4.67483123e+02  1.10512567e+01
1000000          -7.41434670e+06 -7.22350838e+06 -1.90838320e+05 -1.26272881e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.14791483e+06  1.26934114e+01  6.11237885e+03  4.68459396e+02  1.10584193e+01
