#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        HEAT_VAP        
100000           -3.92995883e+05 -3.85923114e+05 -7.11806740e+03  4.52987318e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.32777896e+05  1.22367454e+01  4.58540256e+03  2.32917044e+01  1.10616963e+01
200000           -3.87604589e+05 -3.80465712e+05 -7.14336935e+03  4.49290458e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.00962621e+05  1.24121189e+01  4.59378840e+03  2.33317531e+01  1.10870230e+01
300000           -4.00828031e+05 -3.93682879e+05 -7.14570344e+03  5.51083736e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.02189461e+05  1.24084631e+01  4.59472644e+03  2.33346060e+01  1.11004144e+01
400000           -3.86260382e+05 -3.79119521e+05 -7.14088566e+03  2.47486404e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.11259405e+05  1.23640029e+01  4.59167352e+03  2.33344190e+01  1.09973905e+01
500000           -3.93739765e+05 -3.86685866e+05 -7.05389951e+03  3.46561186e-05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.58673936e+05  1.25186707e+01  4.56284251e+03  2.31952510e+01  1.09976698e+01
600000           -3.86651955e+05 -3.79690053e+05 -6.96190191e+03 -2.40922999e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.14687107e+05  1.21582586e+01  4.53262882e+03  2.30459187e+01  1.09997010e+01
700000           -3.82100421e+05 -3.75194338e+05 -6.90608292e+03 -2.40923000e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.36845471e+05  1.19944366e+01  4.51419572e+03  2.29544610e+01  1.09991709e+01
800000           -3.69372126e+05 -3.62425856e+05 -6.94626969e+03 -2.40923000e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.63522748e+05  1.23811106e+01  4.52748168e+03  2.30200310e+01  1.10599323e+01
900000           -3.88120362e+05 -3.81125371e+05 -6.99499135e+03 -2.40923001e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.96707490e+05  1.22780648e+01  4.54343597e+03  2.31002937e+01  1.09746830e+01
1000000          -3.90641754e+05 -3.83705340e+05 -6.93641373e+03 -2.40923001e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.30197397e+05  1.20577854e+01  4.52437708e+03  2.30031817e+01  1.09854690e+01
