#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        HEAT_VAP        
2200000          -7.51605012e+06 -7.32298247e+06 -1.93067653e+05  2.33218790e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.21928987e+06  9.22854566e+00  6.14319847e+03  4.71552169e+02  1.11553359e+01
2300000          -7.49011367e+06 -7.29758538e+06 -1.92528297e+05  2.33218789e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.18719088e+06  1.11724772e+01  6.13728265e+03  4.70691258e+02  1.11168855e+01
2400000          -7.41895171e+06 -7.22798458e+06 -1.90967131e+05  2.33218789e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.16184308e+06  1.22938836e+01  6.12478118e+03  4.67825894e+02  1.10676827e+01
2500000          -7.44804959e+06 -7.25659491e+06 -1.91454682e+05  2.33218789e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.19505932e+06  1.00107079e+01  6.12534637e+03  4.68975976e+02  1.10712511e+01
2600000          -7.53758030e+06 -7.34368491e+06 -1.93895390e+05  2.33218789e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.22314536e+06  1.02839873e+01  6.17086007e+03  4.71453109e+02  1.11551892e+01
2700000          -7.54663683e+06 -7.35259732e+06 -1.94039518e+05  2.33218789e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.20985130e+06  1.10970231e+01  6.16817202e+03  4.72009377e+02  1.11782522e+01
2800000          -7.52869592e+06 -7.33518729e+06 -1.93508627e+05  2.33218788e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.18731860e+06  1.25699550e+01  6.16634254e+03  4.70856475e+02  1.11567101e+01
2900000          -7.54160923e+06 -7.34801184e+06 -1.93597395e+05  2.33218788e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.19353918e+06  1.14325166e+01  6.15068130e+03  4.72273715e+02  1.11538159e+01
3000000          -7.59219038e+06 -7.39741090e+06 -1.94779479e+05  2.33218788e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.21843942e+06  1.01528723e+01  6.15999274e+03  4.74437858e+02  1.12156639e+01
3100000          -7.54368540e+06 -7.34988261e+06 -1.93802790e+05  2.33218788e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.16907533e+06  1.31418135e+01  6.15035856e+03  4.72798270e+02  1.11533076e+01
3200000          -7.54974287e+06 -7.35589416e+06 -1.93848711e+05  2.33218788e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.27962117e+06  5.96095440e+00  6.16373648e+03  4.71883674e+02  1.11236481e+01
3300000          -7.56990137e+06 -7.37565129e+06 -1.94250075e+05  2.33218788e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.26149735e+06  6.91296236e+00  6.15665091e+03  4.73406018e+02  1.12078724e+01
3400000          -7.53792250e+06 -7.34419201e+06 -1.93730494e+05  2.33218787e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.23567731e+06  8.53813188e+00  6.15273797e+03  4.72439232e+02  1.11643700e+01
