#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        HEAT_VAP        
2500000          -3.21442073e+05 -3.15795634e+05 -5.64643863e+03 -3.66033115e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.09553418e+05  1.11780520e+01  4.07160865e+03  2.08074706e+01  1.10523311e+01
2600000          -3.10739071e+05 -3.05112228e+05 -5.62684279e+03 -3.66033120e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.49063241e+05  1.14385098e+01  4.06490335e+03  2.07694051e+01  1.11715330e+01
2700000          -3.25593717e+05 -3.19857372e+05 -5.73634534e+03 -3.66033125e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.17076829e+05  1.12490871e+01  4.10436470e+03  2.09697209e+01  1.10428073e+01
2800000          -3.21720505e+05 -3.15834325e+05 -5.88618014e+03 -3.66033130e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.92858023e+05  1.15418502e+01  4.15722093e+03  2.12444056e+01  1.09387528e+01
2900000          -3.23796254e+05 -3.17997656e+05 -5.79859844e+03 -3.66033135e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.96633359e+05  1.14221071e+01  4.12545150e+03  2.10893893e+01  1.09005803e+01
3000000          -3.16786945e+05 -3.11066571e+05 -5.72037398e+03 -3.66033140e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.15072371e+05  1.12421456e+01  4.09749536e+03  2.09467812e+01  1.09553124e+01
3100000          -3.19977175e+05 -3.14299182e+05 -5.67799321e+03 -3.66033145e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.75531416e+05  1.13775819e+01  4.08240206e+03  2.08686413e+01  1.10080336e+01
3200000          -3.12212108e+05 -3.06531174e+05 -5.68093412e+03 -3.66033150e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.32537748e+05  1.11129250e+01  4.08326798e+03  2.08750530e+01  1.09637214e+01
3300000          -3.14826855e+05 -3.09121734e+05 -5.70512114e+03 -3.66033155e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.55541652e+05  1.10326749e+01  4.09233904e+03  2.09174266e+01  1.09722991e+01
3400000          -3.29734295e+05 -3.23907933e+05 -5.82636137e+03 -3.66033160e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.84377760e+05  1.15116785e+01  4.13574221e+03  2.11373750e+01  1.09356903e+01
3500000          -3.15959605e+05 -3.10212533e+05 -5.74707205e+03 -3.66033165e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.94877347e+05  1.13685964e+01  4.10733012e+03  2.09942574e+01  1.09850216e+01
3600000          -3.04901331e+05 -2.99221276e+05 -5.68005499e+03 -3.66033171e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.54247384e+05  1.14793162e+01  4.08356647e+03  2.08701916e+01  1.10997436e+01
3700000          -3.00534092e+05 -2.94941622e+05 -5.59246985e+03 -3.66033176e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.47275000e+05  1.14074657e+01  4.05167590e+03  2.07102351e+01  1.11304185e+01
3800000          -3.02694884e+05 -2.97097237e+05 -5.59764700e+03 -3.66033181e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.56755139e+05  1.13703293e+01  4.05295985e+03  2.07227443e+01  1.10590504e+01
3900000          -3.08275379e+05 -3.02732971e+05 -5.54240818e+03 -3.66033186e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.05534689e+05  1.10740880e+01  4.03269365e+03  2.06214336e+01  1.10472925e+01
4000000          -3.13418196e+05 -3.07895784e+05 -5.52241189e+03 -3.66033192e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.93767963e+05  1.11053384e+01  4.02535654e+03  2.05844253e+01  1.10593732e+01
4100000          -3.05603592e+05 -3.00036733e+05 -5.56685902e+03 -3.66033197e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.59385809e+05  1.13204487e+01  4.04189271e+03  2.06651277e+01  1.10932440e+01
4200000          -3.07776556e+05 -3.02151133e+05 -5.62542345e+03 -3.66033202e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.56196060e+05  1.14050173e+01  4.06365778e+03  2.07708002e+01  1.11045462e+01
4300000          -3.04240431e+05 -2.98630851e+05 -5.60958019e+03 -3.66033207e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.93042734e+05  1.12115298e+01  4.05830423e+03  2.07396237e+01  1.11417257e+01
4400000          -3.04862012e+05 -2.99217046e+05 -5.64496617e+03 -3.66033213e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.26082803e+05  1.10982938e+01  4.07117000e+03  2.08044203e+01  1.10954950e+01
4500000          -3.06238593e+05 -3.00578187e+05 -5.66040539e+03 -3.66033218e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.13855003e+05  1.11745633e+01  4.07666425e+03  2.08331593e+01  1.10903456e+01
4600000          -3.11577533e+05 -3.05930323e+05 -5.64721083e+03 -3.66033223e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.89125427e+05  1.12759352e+01  4.07160006e+03  2.08105747e+01  1.10667451e+01
4700000          -3.08240101e+05 -3.02637742e+05 -5.60235927e+03 -3.66033228e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.11364127e+05  1.11166862e+01  4.05559470e+03  2.07267179e+01  1.11096386e+01
4800000          -3.01473544e+05 -2.95887187e+05 -5.58635769e+03 -3.66033234e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.22689294e+05  1.10442256e+01  4.04969910e+03  2.06975845e+01  1.11151028e+01
4900000          -2.96699158e+05 -2.91087550e+05 -5.61160792e+03 -3.66033239e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.79021559e+05  1.12787341e+01  4.05962331e+03  2.07404025e+01  1.12283321e+01
5000000          -3.01456969e+05 -2.95895871e+05 -5.56109808e+03 -3.66033243e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.86131970e+05  1.11852553e+01  4.04073404e+03  2.06494090e+01  1.12042233e+01
