#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        HEAT_VAP        
100000           -2.71005705e+05 -2.66094261e+05 -4.94409397e+03  3.26499326e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.26050425e+05  1.07132607e+01  3.80371800e+03  1.95026500e+01  1.11144625e+01
200000           -2.73395791e+05 -2.68428350e+05 -4.96938394e+03  1.94279221e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.34220072e+05  1.07067572e+01  3.81355584e+03  1.95516228e+01  1.10955230e+01
300000           -2.80022383e+05 -2.75025638e+05 -4.99686840e+03  1.22626495e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.39395999e+05  1.07184716e+01  3.82371974e+03  1.96076894e+01  1.10244244e+01
400000           -2.68343843e+05 -2.63400726e+05 -4.94311710e+03  4.56234602e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.12611343e+05  1.07768366e+01  3.80274193e+03  1.95036682e+01  1.10589796e+01
500000           -2.68781551e+05 -2.63854011e+05 -4.92753952e+03 -1.39182088e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.23543943e+05  1.07049603e+01  3.79674929e+03  1.94727290e+01  1.10657746e+01
600000           -2.70970725e+05 -2.66005105e+05 -4.96561989e+03 -1.39182088e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.92440686e+05  1.04277657e+01  3.81169979e+03  1.95464789e+01  1.10233590e+01
700000           -2.73372225e+05 -2.68379541e+05 -4.99268329e+03 -1.39182089e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.65710443e+05  1.05870492e+01  3.82288771e+03  1.95955537e+01  1.10822034e+01
800000           -2.72221145e+05 -2.67231810e+05 -4.98933559e+03 -1.39182089e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.36825444e+05  1.07187063e+01  3.82178987e+03  1.95878430e+01  1.11351482e+01
900000           -2.61790864e+05 -2.56864301e+05 -4.92656297e+03 -1.39182090e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.19790076e+05  1.07200251e+01  3.79707681e+03  1.94675142e+01  1.11546266e+01
1000000          -2.71336705e+05 -2.66405165e+05 -4.93153950e+03 -1.39182090e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.53706563e+05  1.05660566e+01  3.79900032e+03  1.94771293e+01  1.11129407e+01
1100000          -2.69800116e+05 -2.64917185e+05 -4.88293137e+03 -1.39182091e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.04607720e+05  1.07354188e+01  3.78007747e+03  1.93813065e+01  1.11600075e+01
1200000          -2.54046204e+05 -2.49211304e+05 -4.83490008e+03 -1.39182091e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.58094097e+05  1.04203839e+01  3.76151218e+03  1.92858380e+01  1.11893614e+01
1300000          -2.67650152e+05 -2.62754659e+05 -4.89549278e+03 -1.39182092e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.23921778e+05  1.06599944e+01  3.78520670e+03  1.94052359e+01  1.11725191e+01
1400000          -2.66986672e+05 -2.62142016e+05 -4.84465553e+03 -1.39182092e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.40242936e+05  1.05178903e+01  3.76512225e+03  1.93062949e+01  1.11472521e+01
1500000          -2.73923491e+05 -2.69033191e+05 -4.89029954e+03 -1.39182093e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.20658291e+05  1.06692763e+01  3.78295410e+03  1.93962132e+01  1.11448268e+01
