#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        HEAT_VAP        
100000           -7.48521665e+06 -7.29236172e+06 -1.92950471e+05  9.55393242e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.18558827e+06  1.25964800e+01  6.16458950e+03  4.69634610e+02  1.10631985e+01
200000           -7.45644898e+06 -7.26432038e+06 -1.92163003e+05  3.44000645e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.16510856e+06  1.29764937e+01  6.14296394e+03  4.69362873e+02  1.11134344e+01
300000           -7.47011675e+06 -7.27789182e+06 -1.92237354e+05  1.24192742e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.22810634e+06  8.30007355e+00  6.13777186e+03  4.69941957e+02  1.11076841e+01
400000           -7.38170835e+06 -7.19173548e+06 -1.89976765e+05  3.89067127e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.17189737e+06  1.04554746e+01  6.10142978e+03  4.67181940e+02  1.09792475e+01
500000           -7.41900387e+06 -7.22818558e+06 -1.90819728e+05  1.44153357e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.21117354e+06  8.40534834e+00  6.11604136e+03  4.68133307e+02  1.10552650e+01
600000           -7.42162503e+06 -7.23078048e+06 -1.90845205e+05  6.51149907e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.19319127e+06  1.00606665e+01  6.12421150e+03  4.67571528e+02  1.10453193e+01
700000           -7.46200296e+06 -7.27000379e+06 -1.91999399e+05  2.29498872e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.22525252e+06  9.03931095e+00  6.14964974e+03  4.68452980e+02  1.10446836e+01
800000           -7.45484190e+06 -7.26290059e+06 -1.91941377e+05  7.02169207e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.21340883e+06  1.08385865e+01  6.17046917e+03  4.66730547e+02  1.10323103e+01
900000           -7.47085167e+06 -7.27854057e+06 -1.92311113e+05  9.42117808e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.23097352e+06  9.63130348e+00  6.17041548e+03  4.67634590e+02  1.10507368e+01
1000000          -7.49524147e+06 -7.30216648e+06 -1.93074987e+05  1.78906582e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.22221868e+06  1.04877549e+01  6.17495647e+03  4.69146850e+02  1.10489097e+01
1100000          -7.46418592e+06 -7.27191993e+06 -1.92265993e+05  1.78906582e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.23262170e+06  8.88566825e+00  6.15681141e+03  4.68557437e+02  1.10735456e+01
1200000          -7.56099643e+06 -7.36667647e+06 -1.94319962e+05  1.78906582e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.24740091e+06  9.82909172e+00  6.19744138e+03  4.70458145e+02  1.11272850e+01
